,shop_name,shop_address,shop_lat,shop_lng,types
0,Publix Super Market at Melrose,"2223 8th Ave S, Nashville, TN 37204",36.1285944,-86.7784628,"['supermarket', 'florist', 'bakery', 'grocery_or_supermarket', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment']"
1,Kroger,"2615 Franklin Pike, Nashville, TN 37204",36.1199446,-86.7771798,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
2,Aleksey's Market,"718 Thompson Ln, Nashville, TN 37204",36.1128669,-86.76522740000001,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
3,Wedgehill Market,"600 Benton Ave, Nashville, TN 37204",36.1318851,-86.76877499999999,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
4,Bangkok Market,"3207 Powell Ave, Nashville, TN 37204",36.1004647,-86.76238699999999,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
5,Osborne's Bi-Rite,"3116 Belmont Blvd, Nashville, TN 37212",36.117707,-86.7967994,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
6,InterAsian Market & Deli,"2160 Nolensville Pike, Nashville, TN 37211",36.1282806,-86.7535285,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
7,Walmart Supercenter,"2421 Powell Ave, Nashville, TN 37204",36.110974,-86.7694458,"['department_store', 'hardware_store', 'bakery', 'grocery_or_supermarket', 'electronics_store', 'furniture_store', 'home_goods_store', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']"
8,International Food Mart,"2855 Logan St, Nashville, TN 37211",36.111472,-86.7421956,"['grocery_or_supermarket', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
9,Smokin oaks organic farms market,"2116 8th Ave S, Nashville, TN 37204",36.131239,-86.778402,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
10,Buy N Save Market Inc,"201 Glenrose Ave, Nashville, TN 37210",36.12516129999999,-86.7428357,"['gas_station', 'grocery_or_supermarket', 'car_repair', 'food', 'point_of_interest', 'store', 'establishment']"
